472,523,826,514,828,621,475,631
674,452,791,453,791,486,673,485
512,460,665,456,666,484,513,488
1042,187,1116,188,1115,223,1041,223
1125,190,1202,191,1202,225,1124,224
1116,226,1184,228,1184,252,1115,251
714,265,775,264,775,279,715,280
628,285,693,286,692,300,628,299
710,287,776,286,777,300,710,301
634,270,689,272,689,285,634,283
797,262,854,262,854,275,797,276
798,273,854,273,854,286,799,286
1039,225,1086,225,1086,250,1039,249
792,286,854,287,854,301,792,300
1092,225,1110,226,1109,250,1092,250
642,261,684,261,684,274,642,274
