993,197,1128,187,1130,226,995,236
1132,193,1236,179,1238,201,1135,215
994,259,1078,253,1079,268,995,273
1028,317,1074,316,1074,330,1029,330
1085,255,1144,248,1145,263,1087,270
940,206,989,204,991,237,941,239
1183,319,1238,321,1238,334,1182,333
997,377,1045,378,1045,390,996,389
1095,286,1134,287,1134,303,1095,302
1039,287,1089,286,1089,299,1039,300
1051,381,1109,382,1109,394,1051,393
1114,381,1150,382,1150,395,1114,394
966,375,995,376,995,388,966,387
1009,287,1035,286,1035,298,1009,299
1154,383,1182,384,1182,397,1154,396
1077,316,1109,316,1109,330,1077,330
970,262,990,261,990,274,971,275
