1090,21,1254,-25,1264,15,1100,62
690,338,801,331,802,346,690,353
1082,123,1149,114,1151,140,1084,148
708,318,790,313,791,327,708,332
740,47,797,51,796,70,739,67
685,50,736,49,736,66,685,66
905,88,960,73,966,100,911,115
682,248,732,244,733,266,684,271
675,170,738,167,739,187,675,190
741,167,798,166,799,188,742,188
752,243,801,241,802,259,753,261
683,81,723,81,723,95,684,95
728,81,776,81,776,95,728,94
719,101,764,100,764,113,719,114
649,84,680,83,680,97,650,98
771,82,800,84,799,98,770,96
733,245,749,244,749,262,734,262
