22,-17,161,55,146,88,8,14
757,101,865,41,880,74,773,133
265,246,339,241,340,254,266,259
217,270,279,268,280,282,217,283
92,313,173,300,176,323,96,335
255,206,336,202,336,215,255,219
226,286,275,286,275,299,226,300
303,185,340,184,341,198,303,199
269,228,331,224,331,238,269,242
279,284,316,282,316,296,280,298
211,313,260,312,260,325,211,327
229,229,266,228,266,241,230,242
263,309,308,306,309,322,264,324
295,267,322,265,323,278,296,280
222,246,260,245,261,258,222,259
214,188,251,187,251,201,214,202
221,206,250,205,251,217,222,218
254,187,301,186,302,201,255,202
97,279,136,273,137,286,99,291
