219,188,370,144,391,228,240,273
274,530,365,461,378,481,287,551
110,27,122,37,56,125,44,115
161,141,174,151,108,243,96,233
68,74,80,84,15,171,2,160
357,460,423,410,434,428,368,477
554,352,598,350,599,364,555,367
511,54,562,45,565,61,513,70
289,357,364,315,371,329,296,371
274,312,377,269,382,284,280,327
543,278,587,274,588,289,545,293
265,342,366,296,372,310,270,356
530,186,577,182,578,197,531,201
718,459,774,455,775,467,719,470
636,601,663,599,664,617,637,618
764,235,789,234,790,246,764,246
780,455,810,454,811,465,780,466
732,141,762,139,763,149,733,152
