760,282,935,293,929,387,755,376
1050,432,1267,494,1258,530,1041,468
1070,200,1274,185,1277,228,1072,243
968,68,1076,31,1084,56,976,94
746,39,851,-13,863,13,758,65
989,172,1072,165,1075,194,991,202
1008,92,1105,63,1112,91,1015,120
944,103,1007,94,1011,122,947,132
964,411,1076,446,1068,476,956,441
942,216,1014,213,1015,238,943,241
996,288,1081,293,1079,325,994,320
1021,209,1106,205,1107,235,1022,238
1028,334,1108,338,1107,365,1027,361
942,187,984,179,988,201,945,208
951,321,1025,331,1022,359,947,349
1079,166,1121,164,1122,189,1080,192
940,77,989,58,997,81,948,100
948,292,990,293,989,315,947,314
