472,605,550,604,550,648,473,649
1009,169,1070,168,1071,186,1009,187
484,259,611,255,612,271,484,275
499,196,576,193,576,208,500,210
603,254,666,252,667,270,603,272
819,645,869,641,871,663,821,667
544,214,619,213,619,228,544,229
969,194,1028,193,1028,210,970,211
501,173,557,173,557,186,501,187
690,432,776,431,776,443,690,445
528,236,566,234,566,251,529,252
631,199,705,194,707,236,634,241
533,142,565,141,565,157,533,158
693,413,736,412,737,425,694,426
500,216,537,215,538,230,500,231
607,190,681,189,682,204,608,205
580,192,603,191,603,205,580,205
503,237,527,236,528,252,503,252
