744,104,887,24,905,61,762,141
35,-6,157,47,143,84,21,30
227,270,303,267,303,280,228,283
260,205,336,203,336,214,260,216
272,246,335,243,336,254,273,258
266,228,332,225,332,238,266,241
82,312,173,300,176,325,84,337
271,188,328,186,329,198,272,200
210,314,258,312,259,326,210,327
224,287,275,287,275,299,224,300
262,310,306,308,307,322,262,324
226,229,267,228,267,241,227,242
274,285,316,284,316,296,275,297
221,247,262,246,262,258,221,258
214,190,250,189,250,201,214,201
220,207,250,206,250,217,220,217
