225,87,360,103,356,138,221,122
95,261,216,258,217,277,96,280
111,479,202,464,204,482,113,497
94,187,179,190,179,204,94,201
106,448,186,437,187,451,108,462
96,376,186,369,187,383,97,390
272,401,370,389,372,404,273,416
258,331,371,324,372,346,259,352
95,78,186,81,184,119,94,115
94,119,203,127,201,159,92,151
95,340,178,335,179,348,96,354
297,367,370,360,371,375,298,381
95,303,159,301,159,316,95,317
212,128,324,137,321,167,210,158
99,412,145,408,146,422,100,427
167,299,227,297,228,311,168,313
137,407,194,400,195,415,138,422
167,333,235,329,236,343,168,347
131,223,190,224,190,239,131,237
103,528,148,523,149,539,104,544
92,223,132,223,132,238,91,237
323,138,357,139,356,166,323,165
338,223,366,223,366,236,338,236
