1008,170,1088,167,1088,184,1008,187
626,191,707,189,708,240,628,242
820,647,873,641,875,660,822,666
481,258,610,254,611,271,481,275
688,432,769,430,769,443,689,445
500,194,596,192,596,207,500,209
515,142,564,141,565,157,516,158
488,237,571,235,571,251,488,253
1044,117,1108,114,1108,130,1045,133
474,651,536,650,536,670,474,671
496,172,562,173,562,189,496,188
535,213,622,215,622,229,535,228
599,254,667,253,667,270,599,271
691,413,746,411,747,424,692,426
496,215,539,215,539,230,496,230
